gene,auroc,mean_atrial,mean_vent,delta,pct_atrial,pct_vent,hvg,p,verdict
NPPA,0.854326923076923,4.752109,3.4449825,1.31,100.0,100.0,True,0.0,useful
MYL7,0.765587044534413,5.219378,4.8332977,0.39,100.0,100.0,True,1.4131099e-27,weak
ATP2A2,0.7411184210526316,2.6125681,1.9934351,0.62,100.0,99.67105263157895,True,5.1390748e-23,weak
DKK3,0.7312120445344129,1.5523907,0.88695806,0.67,94.23076923076923,87.5,True,2.6181997e-21,weak
MYL4,0.7306806680161944,3.6517963,3.410577,0.24,100.0,100.0,True,3.3481406e-21,weak
PAM,0.702941548582996,2.3762972,1.4468158,0.93,98.84615384615385,98.35526315789474,True,9.196459e-17,weak
GJA5,0.6992914979757084,0.87074125,0.30461398,0.57,66.15384615384615,42.43421052631579,True,7.084753e-18,weak
BMP10,0.6962424089068826,0.7929337,0.13357055,0.66,51.153846153846146,17.105263157894736,True,5.7646406e-22,weak
MYH6,0.6914663461538462,2.0972257,0.8447543,1.25,85.0,79.27631578947368,True,3.6078415e-15,weak
ANGPT1,0.6875632591093117,0.62613994,0.15010674,0.48,52.307692307692314,21.710526315789476,True,3.2475974e-19,weak
TNNT2,0.6731401821862348,3.3700929,3.1950915,0.18,100.0,100.0,False,1.3058749e-12,weak
NR2F1,0.6511513157894736,0.41170773,0.028115567,0.38,33.46153846153846,4.605263157894736,True,1.9524238e-20,weak
KCNA5,0.6475518724696355,0.47981682,0.11852723,0.36,42.69230769230769,18.421052631578945,True,6.8285194e-14,weak
COL2A1,0.640156882591093,0.8170843,0.26066223,0.56,51.53846153846153,35.85526315789473,True,2.0408841e-10,weak
NPPB,0.616713056680162,0.9250206,0.5730513,0.35,66.15384615384615,54.93421052631579,True,7.7656404e-07,weak
NR2F2,0.6126265182186235,0.5981742,0.30392912,0.29,53.07692307692308,39.14473684210527,True,4.6931405e-07,weak
CAV1,0.5624873481781376,1.1311581,1.0102589,0.12,90.0,87.5,False,0.010411318,reject
RYR2,0.5566801619433199,0.92600274,0.8344658,0.09,82.6923076923077,83.55263157894737,False,0.019932149,reject
PPP1R1A,0.5484628036437247,0.8171625,0.7087551,0.11,76.53846153846153,73.02631578947368,True,0.0453115,reject
ADM,0.5478112348178137,0.12757985,0.03063564,0.1,14.615384615384617,5.592105263157895,True,0.00014168305,reject
KCNJ3,0.5332869433198381,0.06626715,0.004958938,0.06,7.307692307692308,0.6578947368421052,True,3.2237924e-05,reject
SLN,0.5107793522267207,0.06311035,0.042096447,0.02,9.230769230769232,7.236842105263158,True,0.35237622,reject
KCNE1,0.5019230769230769,0.0022821208,0.0,0.0,0.38461538461538464,0.0,False,0.28114408,reject
PITX2,0.494730516194332,0.040956713,0.047496874,-0.01,5.769230769230769,6.907894736842106,True,0.61079043,reject
HEY1,0.4902391194331983,0.05104913,0.05548667,-0.0,7.307692307692308,9.539473684210527,False,0.40889305,reject
ALDH1A2,0.48737980769230765,0.123478584,0.114924416,0.01,15.769230769230768,19.407894736842106,True,0.43755165,reject
FGF12,0.48533021255060727,1.122351,1.1730939,-0.05,86.92307692307692,93.0921052631579,False,0.54779077,reject
MYL2,0.44686867408906883,2.5340674,3.2169738,-0.68,92.6923076923077,99.67105263157895,True,0.029503003,reject
IRX4,0.3956287955465587,0.26654324,0.4044382,-0.14,34.23076923076923,58.223684210526315,False,3.6346066e-06,reject
MYH7,0.37602479757085017,3.1681154,4.152277,-0.98,98.84615384615385,100.0,True,3.7885866e-07,reject
HEY2,0.27379807692307695,0.18193875,0.6001522,-0.42,24.23076923076923,65.13157894736842,True,6.6153773e-24,reject
