,LA,RA,V_C,V_T,FI,VM/TM,atrial_min,best_other,margin
NPPA,4.28,5.42,3.25,3.76,3.06,2.67,4.28,3.76,0.52
MYL4,3.54,3.81,3.47,3.31,3.46,3.17,3.54,3.47,0.07
MYL7,4.92,5.64,4.9,4.72,4.86,4.59,4.92,4.9,0.02
GJA5,0.39,1.56,0.24,0.41,0.28,0.41,0.39,0.41,-0.02
KCNA5,0.13,0.98,0.11,0.14,0.1,0.15,0.13,0.15,-0.02
PPP1R1A,0.72,0.96,0.77,0.61,0.7,0.58,0.72,0.77,-0.05
PITX2,0.04,0.05,0.05,0.04,0.04,0.1,0.04,0.1,-0.06
BMP10,0.22,1.61,0.04,0.29,0.07,0.11,0.22,0.29,-0.07
SLN,0.08,0.03,0.02,0.09,0.01,0.12,0.03,0.12,-0.09
ATP2A2,2.08,3.37,2.13,1.77,2.19,1.98,2.08,2.19,-0.11
NR2F1,0.02,0.97,0.02,0.04,0.03,0.14,0.02,0.14,-0.12
PAM,1.44,3.71,1.42,1.48,1.5,1.57,1.44,1.57,-0.13
DKK3,1.01,2.33,0.76,1.09,0.79,1.16,1.01,1.16,-0.15
COL2A1,0.14,1.79,0.36,0.1,0.3,0.45,0.14,0.45,-0.31
MYH6,0.78,3.99,0.79,0.94,0.85,1.22,0.78,1.22,-0.44
NR2F2,0.19,1.18,0.21,0.46,0.34,0.63,0.19,0.63,-0.44
